,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,Gwalior Airport ,26.293333,78.227778, , ,Get in,"One of four airports in the region. It is also the site of an Indian Air Force Base. Gwalior airport has some scheduled domestic services from New Delhi, Mumbai, Ahmadabad, Bangalore, Kolkata, Hyderabad, Jammu and Indore on daily basis.","(26.293333, 78.227778)",wikivoyage,red
0,Gwalior Junction railway station ,26.2162438,78.1826037, , ,Get in,,"(26.2162438, 78.1826037)",wikivoyage,red
0,Gwalior Airport ,26.293333,78.227778, , ,Get in_By plane,"One of four airports in the region. It is also the site of an Indian Air Force Base. Gwalior airport has some scheduled domestic services from New Delhi, Mumbai, Ahmadabad, Bangalore, Kolkata, Hyderabad, Jammu and Indore on daily basis.","(26.293333, 78.227778)",wikivoyage,red
0,Gwalior Junction railway station ,26.2162438,78.1826037, , ,Get in_By train,,"(26.2162438, 78.1826037)",wikivoyage,red
0, Gwalior Trade Fair,0.0,0.0, , ,See, The biggest fair of Madhya Pradesh and a very colourful one. It begins in the second week of January and continues until February.,"(0, 0)",wikivoyage,red
1,Gujari Mahal Archaeological Museum ,26.2341237,78.1705511, ,http://archaeology.mp.gov.in/en-us/Museums/State-Level-Museums/Gujri-Mahal-Museum-Gwalior ,See,"The museum has a diverse range of exhibits, including sculptures made from terracotta, bronze and stone, paintings, inscriptions, weapons and other excavated material from the Sunga, Gupta and Pratihara dynasties.","(26.2341237, 78.1705511)",wikivoyage,red
2,Gwalior Zoo ,26.209275849999997,78.16786098735881, , ,See,"This is one of many of the beautiful zoological parks of Madhya Pradesh. This park includes a white tiger, golden pheasants, sambhar, bison, and many other animals.","(26.209275849999997, 78.16786098735881)",wikivoyage,red
3,Italian Garden ,50.786511000000004,-1.369108928180049, , ,See,"an ideal picnic spot for the whole family or a group of school children. The garden adjacent to the palace grounds is built in Italian style. Beautiful fountains, cascading waters make this is a beautiful place. The lush green gardens make the place even more beautiful. It is very closely connected to the Moti Mahal, the former Palace of Scindia dynasty which is now turned into a Government office. The garden is also connected with the Baiji Ki Tal which is a garden along with a beautiful pool. The major attractions here are the boating area and stone fountains add to the beauty and splendor of this park.","(50.786511000000004, -1.369108928180049)",wikivoyage,red
0, Kheda Pati,23.8511117,79.9289742, , ,See,,"(23.8511117, 79.9289742)",wikivoyage,red
1, Mandre Ki Mata,0.0,0.0, , ,See,,"(0, 0)",wikivoyage,red
2,Moti Mahal ,26.207364,78.172506, , ,See,,"(26.207364, 78.172506)",wikivoyage,red
3, Phool Bagh and Ambedkar Park,0.0,0.0, , ,See,,"(0, 0)",wikivoyage,red
4, Samadhi of Rani Lakshmibai,0.0,0.0, , ,See,,"(0, 0)",wikivoyage,red
5, Tansen's Samadhi,0.0,0.0, , ,See,,"(0, 0)",wikivoyage,red
6,Tighra Dam ,26.221389,78.001667, , ,See,"A great place for an outing, boating and other water facilities are available. ","(26.221389, 78.001667)",wikivoyage,red
0, Chhatris of Scindia Dynasty,0.0,0.0, , ,See,"Literally meaning ""canopy"", Chhatris are elevated, dome-shaped pavilions used as an element in Indian architecture. These chhatris were built in 1817 in memory of the king Jayajirao Scindia.  ","(0, 0)",wikivoyage,red
0, Ghaus's Tomb,0.0,0.0, , ,See,The tomb of Great Gaus Mohammad. Located nearby is the tomb of Tansen.,"(0, 0)",wikivoyage,red
1,Gwalior Fort ,26.2303,78.1689, , ,See,,"(26.2303, 78.1689)",wikivoyage,red
