item,itemLabel,lat,lon,location,distance,sitelinks
http://www.wikidata.org/entity/Q1438775,Fort Tscha der Festung Warschau,52.2068,20.95,Point(20.95 52.2068),6.588,3
http://www.wikidata.org/entity/Q2682084,Warszawa Aleje Jerozolimskie railway station,52.206111,20.940833,Point(20.940833 52.206111),7.134,6
http://www.wikidata.org/entity/Q2832591,Q2832591,52.2056,20.9422,Point(20.9422 52.2056),7.092,3
http://www.wikidata.org/entity/Q9379257,Q9379257,52.205207824707,20.939296722412,Point(20.939296722 52.205207824),7.278,1
http://www.wikidata.org/entity/Q11833730,"Raków, Warsaw",52.197319,20.950156,Point(20.950156 52.197319),7.278,2
http://www.wikidata.org/entity/Q16614275,Q16614275,52.2017,20.9486,Point(20.9486 52.2017),7.024,1
http://www.wikidata.org/entity/Q18423367,BayLab,52.20951,20.9472,Point(20.9472 52.20951),6.562,2
http://www.wikidata.org/entity/Q59771341,Adgar Park West,52.210316666667,20.952694444444,Point(20.952694444 52.210316666),6.205,1
http://www.wikidata.org/entity/Q61989989,Nowoberestecka Street,52.210405555556,20.953463888889,Point(20.953463888 52.210405555),6.157,1
http://www.wikidata.org/entity/Q61990011,BSH building in Warsaw,52.210205555556,20.950911111111,Point(20.950911111 52.210205555),6.311,1
http://www.wikidata.org/entity/Q63033697,68 Włodarzewska Street in Warsaw,52.202847222222,20.950880555556,Point(20.950880555 52.202847222),6.823,1
http://www.wikidata.org/entity/Q63215705,1 Sierpnia Street in Warsaw,52.193688,20.97128,Point(20.97128 52.193688),6.667,1
http://www.wikidata.org/entity/Q63216076,Franciszka Hynka Street,52.1864226,20.969676,Point(20.969676 52.1864226),7.406,1
http://www.wikidata.org/entity/Q63255774,Ogrody Ochota,52.196522222222,20.962425,Point(20.962425 52.196522222),6.778,1
http://www.wikidata.org/entity/Q83238348,Lechicka Street in Warsaw,52.19208,20.96495,Point(20.96495 52.19208),7.061,1
http://www.wikidata.org/entity/Q84362801,Mercedes-Benz building in Warsaw,52.20569,20.93968,Point(20.93968 52.20569),7.225,2
http://www.wikidata.org/entity/Q84402921,Libra Business Center,52.20528,20.93899,Point(20.93899 52.20528),7.29,1
http://www.wikidata.org/entity/Q92271048,Radarowa Street,52.189222222222,20.964416666667,Point(20.964416666 52.189222222),7.341,1
http://www.wikidata.org/entity/Q92272103,Mercure Hotel Warszawa Airport,52.1927,20.96171,Point(20.96153 52.19271),7.146,1
http://www.wikidata.org/entity/Q92272103,Mercure Hotel Warszawa Airport,52.1927,20.96171,Point(20.96171 52.1927),7.139,1
http://www.wikidata.org/entity/Q92272103,Mercure Hotel Warszawa Airport,52.19271,20.96153,Point(20.96153 52.19271),7.146,1
http://www.wikidata.org/entity/Q92272103,Mercure Hotel Warszawa Airport,52.19271,20.96153,Point(20.96171 52.1927),7.139,1
http://www.wikidata.org/entity/Q93736818,Dwudziestolatków Avenue in Warsaw,52.193076,20.967741,Point(20.967741 52.193076),6.86,1
http://www.wikidata.org/entity/Q97441595,Libra Business Center II,52.20444,20.93899,Point(20.93899 52.20444),7.345,1
http://www.wikidata.org/entity/Q97460493,Heidelberg HQ,52.19986,20.94087,Point(20.94087 52.19986),7.557,1
http://www.wikidata.org/entity/Q103980169,Apartamenty Park Szczęśliwicki,52.205857,20.954511,Point(20.954511 52.205857),6.417,1
http://www.wikidata.org/entity/Q104404501,Ogrody Shiraz,52.20444,20.95403,Point(20.95403 52.20444),6.545,1
