ao_link,lat,lon,itemLabel,ao_description
https://www.atlasobscura.com/places/catacombes-de-paris,48.834329,2.332234,"
Catacombes de Paris
","
The vast, legendary catacombs hold secrets much stranger than stacked bones.
"
https://www.atlasobscura.com/places/pere-lachaise-cemetery,48.859397,2.390971,"
Père Lachaise Cemetery
","
France's most famous cemetery, with some of its most curious tombs.
"
https://www.atlasobscura.com/places/bibliotheque-nationale-de-france,48.867912,2.339513,"
Bibliothèque nationale de France (National Library of France)
","
This massive library holds what was once the largest book collection in the world.
"
https://www.atlasobscura.com/places/petite-ceinture,48.835036,2.28505,"
Petite Ceinture
","
Abandoned railway line circling the city of Paris.
"
https://www.atlasobscura.com/places/59-rivoli,48.859239,2.345767,"
59 Rivoli
","
Notorious artist squat renovated into legal studios.
"
https://www.atlasobscura.com/places/shakespeare-and-company,48.852609,2.347133,"
Shakespeare and Company
","
This iconic Parisian bookstore doubles as the ""Tumbleweed Hotel"" for traveling writers.
"
https://www.atlasobscura.com/places/montmartre-cemetery,48.885887,2.331885,"
Montmartre Cemetery
","
A horde of stray cats rule in this secluded Parisian cemetery under a bridge.
"
https://www.atlasobscura.com/places/house-of-nicolas-flamel,48.863523,2.353051,"
House of Nicolas Flamel
","
The oldest stone house in Paris was built by its most famous alchemist.
"
https://www.atlasobscura.com/places/rue-cremieux,48.846747,2.370657,"
Rue Crémieux
","
This charming cobbled backstreet is the most Instagramable street in Paris, much to the residents' annoyance.
"
https://www.atlasobscura.com/places/musee-des-arts-forains,48.833056,2.388889,"
Musée des Arts Forains 
","
A museum of carnival attractions where you are invited to ride the rides.
"
https://www.atlasobscura.com/places/le-mur-des-je-t-aime,48.884741,2.338795,"
I Love You Wall
","
Paris' linguistic guide to the international language of, yes, love.
"
https://www.atlasobscura.com/places/mont-saint-michel,48.635241,-1.510503,"
Mont Saint-Michel
","
This 1,300 year old monastery built atop a single rock was once only accessible depending on the whims of the tide.
"
https://www.atlasobscura.com/places/museum-of-the-history-of-medicine,48.851208,2.340785,"
Museum of the History of Medicine
","
One of the oldest medical collections in Europe focusing on rare surgical instruments.
"
https://www.atlasobscura.com/places/paris-point-zero,48.8534,2.348166,"
Paris Point Zero
","
The very center of Paris is surrounded by a bevy of strange good luck rituals.
"
https://www.atlasobscura.com/places/the-room-of-endangered-and-extinct-species-paris-france,48.842195,2.35631,"
The Room of Endangered and Extinct Species
","
A haunting collection of the vanished and disappearing natural world.
"
https://www.atlasobscura.com/places/un-regard-moderne-bookstore,48.853852,2.342523,"
Un Regard Moderne Bookstore
","
A counter-culture bookstore like no other hides in plain sight in the streets of Paris.
"
