ao_link,lat,lon,itemLabel,description
https://www.atlasobscura.com/places/berliner-unterwelten-subterranean-berlin,52.547842,13.389272,"
Berliner Unterwelten (Subterranean Berlin)
","
A tour of underground Berlin takes you through WWII air raid shelters and tunnels used to smuggle people out of East Germany.
"
https://www.atlasobscura.com/places/rakotzbrucke-devils-bridge,51.536283,14.640583,"
Rakotzbrücke Devil's Bridge
","
This jaw-dropping 19th-century bridge uses its reflection to form what appears to be a perfect circle.
"
https://www.atlasobscura.com/places/liquidrom,52.501619,13.381217,"
Liquidrom
","
This futuristic German spa allows visitors to float in a pool of salt water while zoning out to underwater techno.
"
https://www.atlasobscura.com/places/monster-kabinett,52.523937,13.402526,"
Monsterkabinett
","
A whimsical and twisted animatronic monster tour beneath the streets of Berlin.
"
https://www.atlasobscura.com/places/berlin-botanical-garden,52.458644,13.304476,"
Berlin Botanical Garden
","
Started as a kitchen garden, now the second largest botanical garden in the world.
"
https://www.atlasobscura.com/places/tajikistan-tearoom,52.524653,13.395096,"
Tajikistan Tearoom
","
A slice of central Asia in the middle of Berlin.
"
https://www.atlasobscura.com/places/neuschwanstein-castle,47.557429,10.749506,"
Neuschwanstein Castle
","
The fairy tale castle of the ""fairy-tale king.""
"
https://www.atlasobscura.com/places/pergamon-museum,52.52118,13.396915,"
Pergamon Museum 
","
The most visited, and possibly most controversial, museum in Germany.
"
https://www.atlasobscura.com/places/design-panoptikum,52.516874,13.405963,"
Design Panoptikum
","
A surreal museum of extraordinary industrial objects.
"
https://www.atlasobscura.com/places/stasi-museum,52.515131,13.487672,"
Stasi Museum 
","
A museum dedicated to the history of a terrifying secret police is now held in their former headquarters.
"
https://www.atlasobscura.com/places/haus-schwarzenberg-street-art-alley,52.524273,13.402517,"
Haus Schwarzenberg Street Art Alley
","
A narrow passage next to a cafe leads to a courtyard exploding with murals, tags, and paste-ups.
"
https://www.atlasobscura.com/places/castle-frankenstein,49.794275,8.695164,"
Castle Frankenstein
","
The birthplace of an eccentric alchemist and possible inspiration for the fictional reanimator of monsters.
"
https://www.atlasobscura.com/places/museum-of-unheard-of-things,52.48692,13.35877,"
Museum of Unheard of Things
","
A wunderkammer of mysterious objects and stories.
"
https://www.atlasobscura.com/places/castle-eltz-burg-eltz,50.205226,7.336551,"
Eltz Castle - Burg Eltz
","
This medieval castle overlooking the Elzbach river looks just like it did hundreds of years ago.
"
https://www.atlasobscura.com/places/memorial-to-the-murdered-jews-of-europe,52.513889,13.378889,"
Memorial to the Murdered Jews of Europe 
","
Thousands of coffin-like pillars make up this controversial Holocaust memorial.
"
https://www.atlasobscura.com/places/dott-return-cows-kuhunst,52.534225,13.434671,"
The Return of the Cows
","
Art and a pun, all in one.
"
https://www.atlasobscura.com/places/bastei,50.9634,14.070268,"
The Bastei
","
Ruins of a German Castle on top of a towering stone pillar.
"
https://www.atlasobscura.com/places/spiegelsaal-in-clarchens-ballhaus,52.526644,13.396802,"
Hall of Mirrors in Clärchens Ballhaus
","
This classic restaurant features a gorgeous mirror-clad room.
"
https://www.atlasobscura.com/places/burgermeister,52.501083,13.442323,"
Burgermeister
","
Where once there was a train station bathroom, there is now this German burger joint.
"
https://www.atlasobscura.com/places/garten-der-welt-gardens-of-the-world,52.538135,13.57034,"
Gärten der Welt (Gardens of the World)
","
Gardens representing parts of Asia, Europe, and the Mid East are tucked away among the Soviet-style buildings in East Berlin.
"
https://www.atlasobscura.com/places/the-ddr-museum-berlin-berlin-germany,52.519133,13.402634,"
The DDR Museum
","
A fascinating insight into daily life in the Eastern Bloc.
"
https://www.atlasobscura.com/places/teufelsberg,52.496364,13.23976,"
Teufelsberg
","
An abandoned NSA listening post on Berlin's ""Devil's Mountain.""
"
https://www.atlasobscura.com/places/vestiges-berlin-wall,52.505031,13.439712,"
Vestiges of the Berlin Wall
","
On the Spree bank, discover one of the last reminders of a symbolic wall that divided, and was torn down by the people.
"
https://www.atlasobscura.com/places/pfaueninsel,52.434171,13.130385,"
Pfaueninsel
","
This Berlin island is home to a flock of free-roaming peacocks, as well as a historic ivory folly.
"
https://www.atlasobscura.com/places/buchstabenmuseum,52.52007,13.34471,"
Buchstabenmuseum 
","
A collection of abandoned typographic signs from Berlin and beyond.
"
https://www.atlasobscura.com/places/museum-fur-naturkunde,52.530096,13.379237,"
Museum für Naturkunde
","
Berlin's natural history museum houses the world's largest mounted dinosaur and the late beloved polar bear Knut.
"
https://www.atlasobscura.com/places/gruselkabinett,52.503046,13.379496,"
Berlin Story Bunker
","
This World War II bunker now survives as a documentation of the Nazi regime and war crimes.
"
