ao_link,lat,lon,name,ao_description
https://www.atlasobscura.com/places/ancient-stepwells-india,27.007252,76.606486,"
Chand Baori
","
Thousands of exquisitely carved stone water storage wells, hundreds of stone steps fill this exquisite medieval stepwell.
"
https://www.atlasobscura.com/places/hawa-mahal-palace-of-winds,26.912417,75.787288,"
Hawa Mahal (Palace of Winds)
","
The 953 windows undoubtedly make this the world's most beautiful screened porch.
"
https://www.atlasobscura.com/places/root-bridges-cherrapungee,25.21863,91.66264,"
The Root Bridges of Cherrapunji
","
Centuries-old bridges grown from tangled roots.
"
https://www.atlasobscura.com/places/skeleton-lake-of-roopkund-india,30.262,79.732,"
Skeletons of Roopkund Lake 
","
A lake with hundreds of ancient skeletons surrounding it. The surprise is what killed them.
"
https://www.atlasobscura.com/places/jal-mahal,26.9537,75.8463,"
Jal Mahal
","
More than half of this Indian palace is drowned but it looks all the more spectacular for it.
"
https://www.atlasobscura.com/places/the-blue-city-of-jodhpur-jodhpur-india,26.302331,73.052334,"
The Blue City of Jodhpur
","
Once an indicator of social class, the color blue has come to define this city on the edge of the Thar Desert.
"
https://www.atlasobscura.com/places/ellora-caves,20.022941,75.179162,"
Ellora Caves
","
This complex of vertically-excavated Buddhist, Jain, and Hindu monolithic temples in India's Maharashtra providence illustrates a spirit of tolerance characteristic of ancient India.
"
https://www.atlasobscura.com/places/shatrunjaya-hill,21.483038,71.794689,"
Shatrunjaya Hill 
","
A mecca for India's Jains.
"
https://www.atlasobscura.com/places/mahabat-maqbara,21.527222,70.46,"
Mahabat Maqbara
","
This otherworldly palace-mausoleum complex is the stuff eternal dreams are made of.
"
https://www.atlasobscura.com/places/great-wall-india,25.14732,73.583358,"
The Great Wall of India
","
The second-longest continuous wall on the planet protects a hidden secret in the deserts of India.
"
https://www.atlasobscura.com/places/hampi,15.335371,76.458778,"
Hampi
","
The remains of what was, not so long ago, the world's largest city.
"
https://www.atlasobscura.com/places/temple-of-galtaji-at-galwar-bagh-hanuman-s-temple,26.916805,75.858944,"
Hanuman’s Temple
","
Sacred Indian temple that’s all monkey business.
"
https://www.atlasobscura.com/places/nek-chand-saini,30.752869,76.806499,"
Nek Chand Saini's Rock Garden
","
A palatial sculpture park was built illegally and in secret by a self-taught artist over 36 years.
"
https://www.atlasobscura.com/places/jantar-mantar,26.924567,75.824203,"
Jantar Mantar
","
The world's second-largest sundial, made entirely out of stone.
"
https://www.atlasobscura.com/places/ajanta-caves,20.532932,75.750231,"
Ajanta Caves
","
Rock-cut cave complex filled with ancient Buddhist artwork.
"
https://www.atlasobscura.com/places/great-banyan-tree,22.561431,88.292077,"
Great Banyan Tree
","
A single tree's 2,800 aerial roots give the appearance of a complete forest.
"
https://www.atlasobscura.com/places/golden-temple,31.61998,74.876485,"
Golden Temple
","
This peaceful Sikh gurudwara serves around 50,000 free meals every day within its gilded walls.
"
https://www.atlasobscura.com/places/agrasen-ki-baoli,28.626042,77.225,"
Agrasen ki Baoli
","
A startling, centuries-old subterranean marvel hides in plain sight.
"
https://www.atlasobscura.com/places/rani-ki-vav,23.858904,72.101837,"
Rani Ki Vav
","
This magnificent stepwell is designed as an inverted temple and adorned with 1,500 sculptures.
"
https://www.atlasobscura.com/places/elephanta-caves,18.963341,72.931636,"
Elephanta Caves
","
An extraordinary ""City of Caves"" carved from solid stone.
"
https://www.atlasobscura.com/places/bahai-lotus-temple,28.553492,77.258826,"
Bahá'í Lotus Temple
","
A blooming house of worship for the masses.
"
https://www.atlasobscura.com/places/hill-forts-of-rajasthan,24.883475,74.646056,"
Hill Forts of Rajasthan
","
A complex of six forts embedded in the Rajasthan hills.
"
https://www.atlasobscura.com/places/meenakshi-amman-temples,9.9195,78.1193,"
Meenakshi Amman Temple
","
This ancient Hindu temple is covered in thousands of colorful statues and has a long mythological history.
"
https://www.atlasobscura.com/places/bhangarh-fort,27.094701,76.290604,"
Bhangarh Fort
","
This abandoned fort is said to be the most haunted place in India, so much so that entry is prohibited after sunset.
"
https://www.atlasobscura.com/places/indian-giant-malabar-squirrel,19.054492,73.517273,"
India's Giant Technicolor Squirrels 
","
These particularly resplendent rodents are the state animal of Maharashtra.
"
https://www.atlasobscura.com/places/key-monastery,32.297733,78.011992,"
Key Monastery 
","
This hilltop warren of monastic dwellings is the result of centuries worth of Mongol attacks.
"
https://www.atlasobscura.com/places/mahila-baag-jhalra,26.296556,73.025278,"
Mahila Baag Jhalra
","
Hidden in the shadow of a rocky fortress is one concubine’s long-forgotten legacy.
"
https://www.atlasobscura.com/places/chittorgarh-fort,24.886806,74.644731,"
Chittorgarh Fort
","
A former bastion of Rajput chivalry, this massive hill fort is the site of legend and tragedy.
"
https://www.atlasobscura.com/places/auroville,12.006944,79.810556,"
Auroville
","
This experimental utopian ""city of the future"" in rural India may hold a dark secret.
"
https://www.atlasobscura.com/places/the-majestic-mysore-palace-mysore-india,12.30514,76.655146,"
Mysore Palace
","
Modest by day, illuminated majestically at sunset.
"
https://www.atlasobscura.com/places/cafe-lota,28.61367,77.242581,"
Cafe Lota
","
Nestled among the artifacts of the National Crafts Museum, this hidden gem offers hard-to-find regional foods from all over India.
"
https://www.atlasobscura.com/places/mayong-the-land-of-black-magic,26.261022,92.040782,"
Mayong - The Land of Black Magic
","
The Indian capital of black magic and witchcraft.
"
https://www.atlasobscura.com/places/kalavantin-durg,18.982935,73.219847,"
Kalavantin Durg
","
A centuries-old lookout post still sits atop a natural stone spire.
"
