,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
12,https://www.atlasobscura.com/places/nek-chand-saini,30.752869,76.806499,"
Nek Chand Saini's Rock Garden
","
A palatial sculpture park was built illegally and in secret by a self-taught artist over 36 years.
",atlas_obscura,gold,,,,,,,,,,,,,"(30.752869, 76.806499)"
5,,31.1041526,77.1709729,Shimla,,wikivoyage,red,,,Go next,"Shimla – Just 110&nbsp;km (70&nbsp;mi) from Chandigarh by road is called the ""Queen of Hills"" and is the erstwhile summer capital of the British Raj.","(31.1041526, 77.1709729)",,,,,,,,"(31.1041526, 77.1709729)"
4,,30.6870093,77.0883286,Morni,,wikivoyage,red,,,Go next,"Morni – '''Morni Hills''' at a height of around 1,100 m (3,500 ft) in the Shivalik hills. Just 45&nbsp;km from Chandigarh, the town is a popular day trip & weekend destination with the '''Tikkar lakes''' just nearby. There are 3 routes from Chandigarh to Morni. The shortest and most popular turne off from the Shimla highway just past the toll barrier at Chandimandir.","(30.6870093, 77.0883286)",,,,,,,,"(30.6870093, 77.0883286)"
3,,30.8999479,76.9619744,Kasauli,,wikivoyage,red,,,Go next,"Kasauli – Only 90 min drive from Chandigarh is a hill station not very far from the city. If one is lucky, in clear weather it offers a staggering view of Chandigarh from the Himalayan Foothills. Note that foreign visitors will need to present a valid passport to gain entrance since Kasauli is an Army cantonment.","(30.8999479, 76.9619744)",,,,,,,,"(30.8999479, 76.9619744)"
2,,32.2143039,76.3196717,Dharamsala,,wikivoyage,red,,,Go next,Dharamsala – Home of the Dalai Lama and the highest cricket ground in the world takes another overnight journey to reach.,"(32.2143039, 76.3196717)",,,,,,,,"(32.2143039, 76.3196717)"
1,,28.6273928,77.1716954,Delhi,,wikivoyage,red,,,Go next,Delhi – 250 km by road with excellent connectivity through the NH-1 Highway.,"(28.6273928, 77.1716954)",,,,,,,,"(28.6273928, 77.1716954)"
0,,31.6356659,74.8787496,Amritsar,,wikivoyage,red,,,Go next,Amritsar – The city with the holiest Sikh temple is 238 km away and also offers a glimpse into the Indian struggle for Independence.,"(31.6356659, 74.8787496)",,,,,,,,"(31.6356659, 74.8787496)"
4,,30.7334421,76.7797143,--,,wikivoyage,red,,,Cope_Hospitals,,"(30.7334421, 76.7797143)",,,,,,,,"(30.7334421, 76.7797143)"
3,,30.665395,76.815555,Regenta Central Ashok Chandigarh ,,wikivoyage,red,"on NH 21, Near Chandigarh Airport ",http://www.thechandigarhashok.com/ ,Sleep_Splurge,,"(30.665395, 76.815555)",,,,,,,,"(30.665395, 76.815555)"
2,,30.754066,76.78828, Mount View,,wikivoyage,red, Sector 10A, ,Sleep_Splurge,run by CITCO.,"(30.754066, 76.78828)",,,,,,,,"(30.754066, 76.78828)"
1,,30.704539,76.800204,Hyatt Regency Chandigarh ,,wikivoyage,red,"178 Industrial and Business Park, Phase I ",https://chandigarh.regency.hyatt.com/ ,Sleep_Splurge,,"(30.704539, 76.800204)",,,,,,,,"(30.704539, 76.800204)"
0,,30.745482,76.785142,Hotel Taj Chandigarh ,,wikivoyage,red,"Block No. 9, Sector 17-A ","http://www.tajhotels.com/business/taj%20chandigarh,chandigarh/default.htm ",Sleep_Splurge,"Still reasonably new, it is one of the best and easily one of the most expensive places to stay in Chandigarh, part of the Taj Hotels Resorts and Palaces group with properties in India and abroad (including Zambia, Maldives, and South Africa). Expansive lobby decorated with impressive original sculptural works contrasts starkly with the grubbiness of the neighbourhood outside (but this gives the place its ''raison d'être''). Rooftop swimming pool and all the other usual five-star amenities. Good security; exclusive shopping arcade. Expect to pay for every breath of air you take.","(30.745482, 76.785142)",,,,,,,,"(30.745482, 76.785142)"
7,,0.0,0.0,Lemon Tree Hotel ,,wikivoyage,red,"Plot No. 3, MW Industrial Area Phase I ",https://www.lemontreehotels.com/lemon-tree-hotel/chandigarh/hotel-chandigarh.aspx ,Sleep_Mid-range,"The hotel, with its 81 furnished rooms and suites, offers a wide array of accommodation options. Room categories include Superior Room; Executive Room; Studio Room and Executive Suite.","(0, 0)",,,,,,,,"(0.0, 0.0)"
6,,30.740064,76.776379,Shivalik View ,,wikivoyage,red,Sector 17 E ,http://www.citcochandigarh.com/shivalikview/ ,Sleep_Mid-range,run by CITCO,"(30.740064, 76.776379)",,,,,,,,"(30.740064, 76.776379)"
4,,30.739338,76.784866,Hotel The Komfort Inn ,,wikivoyage,red,in Sector 17 C ,http://the-komfort-inn.hotelsofchandigarh.com/en/ ,Sleep_Mid-range,,"(30.739338, 76.784866)",,,,,,,,"(30.739338, 76.784866)"
3,,30.717594,76.753321,Hotel KLG ,,wikivoyage,red,"Himalaya Marg, Sector 43/B ",https://www.hotelklg.com/ ,Sleep_Mid-range,,"(30.717594, 76.753321)",,,,,,,,"(30.717594, 76.753321)"
2,,30.73015,76.773405, Hotel Aroma,,wikivoyage,red,"Twin Hotel Complex Himalaya Marg, Sector 22-C ",http://www.hotelaroma.com/ ,Sleep_Mid-range,,"(30.73015, 76.773405)",,,,,,,,"(30.73015, 76.773405)"
1,,30.721584,76.7714,OYO 808 Hotel Auzone & Spa ,,wikivoyage,red,in Sector 34 ,https://www.oyorooms.com/826-oyo-rooms-oyo-808-hotel-auzone-spa-chandigarh/ ,Sleep_Mid-range,,"(30.721584, 76.7714)",,,,,,,,"(30.721584, 76.7714)"
0,,30.707983,76.803403,Hometel Chandigarh ,,wikivoyage,red,in Industrial Area Phase-1 ,https://www.sarovarhotels.com/hometel-chandigarh/ ,Sleep_Mid-range,,"(30.707983, 76.803403)",,,,,,,,"(30.707983, 76.803403)"
3,,30.702531,76.794272,Hotel Rajshree ,,wikivoyage,red,Industrial area-1 ,http://www.hotelrajshree.in ,Sleep_Mid-range,,"(30.702531, 76.794272)",,,,,,,,"(30.702531, 76.794272)"
2,,30.732313,76.776966,Hotel Punjab Palace ,,wikivoyage,red,"No 1092, Sco, 93, Himalaya Marg, Sector 22C ", ,Sleep_Mid-range,,"(30.732313, 76.776966)",,,,,,,,"(30.732313, 76.776966)"
1,,30.74604,76.767887, Hotel ParkView,,wikivoyage,red, Sector 24, ,Sleep_Mid-range,run by the CITCO,"(30.74604, 76.767887)",,,,,,,,"(30.74604, 76.767887)"
0,,30.726674,76.767143,Hotel Orange 35 ,,wikivoyage,red,Sector 35-B ,http://www.orangehotel35.com ,Sleep_Mid-range,,"(30.726674, 76.767143)",,,,,,,,"(30.726674, 76.767143)"
0,,30.725407,76.805452, Crystal bar and lounge,,wikivoyage,red, , ,Drink_Bars and pubs,Experience trendy nightlife in Chandigarh.,"(30.725407, 76.805452)",,,,,,,,"(30.725407, 76.805452)"
6,,30.719165,76.768646,Orchid Lounge ,,wikivoyage,red, Sector 34B, ,Eat_Splurge,for excellent Thai cuisine.,"(30.719165, 76.768646)",,,,,,,,"(30.719165, 76.768646)"
