,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
1,https://www.atlasobscura.com/places/hawa-mahal-palace-of-winds,26.912417,75.787288,"
Hawa Mahal (Palace of Winds)
","
The 953 windows undoubtedly make this the world's most beautiful screened porch.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.912417, 75.787288)"
4,https://www.atlasobscura.com/places/jal-mahal,26.9537,75.8463,"
Jal Mahal
","
More than half of this Indian palace is drowned but it looks all the more spectacular for it.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.9537, 75.8463)"
11,https://www.atlasobscura.com/places/temple-of-galtaji-at-galwar-bagh-hanuman-s-temple,26.916805,75.858944,"
Hanuman’s Temple
","
Sacred Indian temple that’s all monkey business.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.916805, 75.858944)"
13,https://www.atlasobscura.com/places/jantar-mantar,26.924567,75.824203,"
Jantar Mantar
","
The world's second-largest sundial, made entirely out of stone.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.924567, 75.824203)"
67,https://www.atlasobscura.com/places/panna-meena-kund,26.991105,75.851229,"
Panna Meena ka Kund
","
The beautiful 16th-century stepwell lies in the shadow of a famous fortress.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.991105, 75.851229)"
77,https://www.atlasobscura.com/places/amber-fort,26.985487,75.851345,"
Amber Fort
","
This opulent 16th-century Maharaja’s palace is a unique mix of Hindu and Muslim designs.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.985487, 75.851345)"
84,https://www.atlasobscura.com/places/gaitore-ki-chhatriyan,26.942997,75.824623,"
Gaitore Ki Chhatriyan
","
Ornate, dome-topped cenotaphs fill this royal crematorium.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.942997, 75.824623)"
264,https://www.atlasobscura.com/places/the-wall-of-amer,26.985026,75.854547,"
The Wall of Amer
","
An ancient wall in the shadows of the Amber Castle.
",atlas_obscura,gold,,,,,,,,,,,,,"(26.985026, 75.854547)"
5,,24.578721,73.6862571,Udaipur,,wikivoyage,red,,,Go next,"'''Udaipur''' &mdash; train #2965, Gwalior Udaipur Superfast Express (via Agra), is the best option for this beautiful City of Lakes","(24.578721, 73.6862571)",,,,,,,,"(24.578721, 73.6862571)"
4,,26.2967719,73.0351433,Jodhpur,,wikivoyage,red,,,Go next,"'''Jodhpur''' &mdash;  the stunning Blue City, with its awe-inspiring Mehrangarh Fort","(26.2967719, 73.0351433)",,,,,,,,"(26.2967719, 73.0351433)"
3,,27.0264162,70.77751197645885,Jaisalmer,,wikivoyage,red,,,Go next,'''Jaisalmer''' &mdash; the Golden City in the Thar Desert,"(27.0264162, 70.77751197645885)",,,,,,,,"(27.0264162, 70.77751197645885)"
2,,0.0,0.0,Bhandarej,,wikivoyage,red,,,Go next,"'''Bhandarej''' &mdash; a little-known town 62 km from Jaipur off the Jaipur-Agra Highway, which dates from the times of the Mahabharata and features 11th-century monuments and temples","(0, 0)",,,,,,,,"(0.0, 0.0)"
1,,28.0159286,73.3171367,Bikaner,,wikivoyage,red,,,Go next,"'''Bikaner''' &mdash; a city in the Thar Desert; though less visited than Jaisalmer, it is home to several important sites such as Bikaner Fort (Junagarh Fort), Laxmi Niwas Palace and Shivbari Temple","(28.0159286, 73.3171367)",,,,,,,,"(28.0159286, 73.3171367)"
0,,27.0072885,76.6079261,Abhaneri,,wikivoyage,red,,,Go next,"'''Abhaneri''' &mdash; you can arrange transport to this village, which contains an impressive ancient stepwell and a beautiful 9th-century temple","(27.0072885, 76.6079261)",,,,,,,,"(27.0072885, 76.6079261)"
4,,26.9563,75.8424,The Trident Jaipur ,,wikivoyage,red,Amber Fort Rd ,http://www.tridenthotels.com/jaipur/index.asp ,Sleep_Splurge,"Surprisingly intimate low-rise hotel built like a glittering white Mughal palace, renovated and well maintained. Small pool. It's worth it to pay extra for a lake view room.","(26.9563, 75.8424)",,,,,,,,"(26.9563, 75.8424)"
3,,26.8962,75.8083,Taj Rambagh Palace Hotel ,,wikivoyage,red, ,http://www.tajhotels.com/luxury/grand-palaces-and-iconic-hotels/rambagh-palace-jaipur/overview.html ,Sleep_Splurge,A former palace and an excellent place to stay.,"(26.8962, 75.8083)",,,,,,,,"(26.8962, 75.8083)"
2,,26.877,75.884,Oberoi Rajvilas Palace Hotel ,,wikivoyage,red,Goner Rd ,http://www.oberoirajvilas.com/ ,Sleep_Splurge,"If you have money to blow and you want to stay in the lap of luxury, this is the place for you. The only problem is that it is nearly impossible to get a booking.","(26.877, 75.884)",,,,,,,,"(26.877, 75.884)"
1,,26.9066,75.8229,Naila Bagh Palace ,,wikivoyage,red,Moti Doongari Road ,http://www.nailabaghpalace.com ,Sleep_Splurge,"Heritage home built in 1872 by the Prime Minister of Jaipur (Late Thakur Fateh Singh ji of Naila), now owned and managed by his 7th-generation descendants. It is surrounded with sprawling gardens and open spaces on all sides; the large front courtyard provides ample seating space for our visitors along with providing a calm and serine ambience. One of Jaipur's oldest heritage buildings and home the erstwhile Prime Minister, Thakur Fateh Singh Ji. Surrounded with gardens and open spaces on all sides, large front courtyard provides ample seating, antique chandeliers, original frescos, colonial furniture and a heritage of family history on display. Swimming pool, modest gym, Wi-Fi in some areas.","(26.9066, 75.8229)",,,,,,,,"(26.9066, 75.8229)"
0,,27.0764,75.9387,Lohagarh Fort Resort Jaipur ,,wikivoyage,red,"Kachera Wala, Kukas (NH-8) ",http://lohagarhfortresort.in/ ,Sleep_Splurge,"13 acres of green lush mountain area in Kukas, a 50-minute drive from Jaipur. Cottages with private pool, luxury tents with jacuzzi, luxury suite with jacuzzi. Apart from accommodation they offer spa & massage and their pool is one of the biggest in the city. They also have in-house restaurant.","(27.0764, 75.9387)",,,,,,,,"(27.0764, 75.9387)"
9,,26.9883,75.8703,Mosaics Guest House ,,wikivoyage,red," Siyaram ki Doongri, '''Amber''' ",http://www.mosaicsguesthouse.com/ ,Sleep_Mid-range,,"(26.9883, 75.8703)",,,,,,,,"(26.9883, 75.8703)"
8,,51.0542154,-114.0698189,White Mushroom V Inn Jaipur ,,wikivoyage,red,I - 7 C2 ,http://www.whitemushroomholidays.com/jaipur/ ,Sleep_Mid-range,,"(51.0542154, -114.0698189)",,,,,,,,"(51.0542154, -114.0698189)"
6,,26.9279,75.7891,Umaid Mahal ,,wikivoyage,red,"C-20 / B-2, Bihari Marg, Sawai Jai Singh Highway, ",http://www.umaidmahal.com ,Sleep_Mid-range,A very nice heritage house hotel with 3-star facilities and also offers free pick up from train and bus station.,"(26.9279, 75.7891)",,,,,,,,"(26.9279, 75.7891)"
