,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,--,49.4938975,0.1079732,,,Understand,,"(49.4938975, 0.1079732)",wikivoyage,red
0,Le Havre – Octeville Airport ,49.533889,0.088056, ,http://www.lehavre.aeroport.fr/ ,Get in,"Has no scheduled flights, but is still used for general aviation and the occasional charter to southern European resorts.","(49.533889, 0.088056)",wikivoyage,red
0,--,49.4938975,0.1079732,,,Get in_By train,,"(49.4938975, 0.1079732)",wikivoyage,red
0,--,49.4938975,0.1079732,,,Get in_By boat,,"(49.4938975, 0.1079732)",wikivoyage,red
0,--,49.4938975,0.1079732,,,Get in_By cruise ship,,"(49.4938975, 0.1079732)",wikivoyage,red
0,Le Havre – Octeville Airport ,49.533889,0.088056, ,http://www.lehavre.aeroport.fr/ ,Get in_By plane,"Has no scheduled flights, but is still used for general aviation and the occasional charter to southern European resorts.","(49.533889, 0.088056)",wikivoyage,red
0,--,49.4938975,0.1079732,,,Get in_By car,,"(49.4938975, 0.1079732)",wikivoyage,red
0,--,49.4938975,0.1079732,,,Get around,,"(49.4938975, 0.1079732)",wikivoyage,red
0,--,49.4938975,0.1079732,,,See,,"(49.4938975, 0.1079732)",wikivoyage,red
1,--,49.4938975,0.1079732,,,See,,"(49.4938975, 0.1079732)",wikivoyage,red
2,--,49.4938975,0.1079732,,,See,,"(49.4938975, 0.1079732)",wikivoyage,red
3,Saint-Joseph church ,49.49088,0.10116,Boulevard François Ier , ,See,St Joseph's Church was a key project designed by August Perret in the rebuilding of the city. Its tall tower is lined with coloured glass lending the interior a unique tranquility.,"(49.49088, 0.10116)",wikivoyage,red
4,Town Hall ,49.49389,0.10784, , ,See,"The town hall is situated on one of the largest squares in France. The interior has information on the city. It is possible to climb the tower for view of the lay out of the city. Showflat, designed by city designer August Perret, is now open for public viewing.","(49.49389, 0.10784)",wikivoyage,red
5,Malraux Museum ,49.48499,0.10262,2 boulevard Clemenceau ,http://www.muma-lehavre.fr/en ,See,This museum houses the largest Impressionist collection in France outside of Paris.,"(49.48499, 0.10262)",wikivoyage,red
6,Oscar Niemeyer Cultural Centre ,49.4906,0.1063,8 place Niemeyer ,http://www.levolcan.com/ ,See,Cultural Centre (the Volcano) designed by leading architect Oscar Niemeyer is located in the centre of town. One of the city's most iconic buildings.,"(49.4906, 0.1063)",wikivoyage,red
7,Maison de l'Armateur ,49.48691,0.11282, ,http://www.lehavre.fr/annuaire-des-equipements/maison-de-larmateur ,See,"One of the few old houses which were not destroyed during World War II. A magnificent house of 5 floors, nicely decorated and furnished in the style of its construction (18th century), when it belonged to rich families. A very interesting visit especially if you also visit Auguste Perret's showflat in City Hall Square showing what was life was like in the 1950s. You will understand the complex history of the city.","(49.48691, 0.11282)",wikivoyage,red
8,Natural History Museum ,49.48779,0.10907,Place du Vieux Marché ,http://www.museum-lehavre.fr/ ,See,"In an old building which miraculously survived the terrible bombings on September 5, 1944. Interesting museum with a lot of activities for children.","(49.48779, 0.10907)",wikivoyage,red
9,Cathedrale Notre Dame ,49.48705,0.10833, , ,See,Visit it and walk around it. You'll get a striking contrast between the 15th century cathedral and the buildings constructed in the 1950s and 1960s around it. The foundations of the cathedral are lower than the other buildings because they were built on the ruins of the old town.,"(49.48705, 0.10833)",wikivoyage,red
0,--,49.4938975,0.1079732,,,Do,,"(49.4938975, 0.1079732)",wikivoyage,red
1,--,49.4938975,0.1079732,,,Do,,"(49.4938975, 0.1079732)",wikivoyage,red
2,--,49.4938975,0.1079732,,,Do,,"(49.4938975, 0.1079732)",wikivoyage,red
3,"""Pont de Normandie""",0.0,0.0,,,Do,,"(0, 0)",wikivoyage,red
4,--,49.4938975,0.1079732,,,Do,,"(49.4938975, 0.1079732)",wikivoyage,red
5,--,49.4938975,0.1079732,,,Do,,"(49.4938975, 0.1079732)",wikivoyage,red
6,--,49.4938975,0.1079732,,,Do,,"(49.4938975, 0.1079732)",wikivoyage,red
7,"""forêt de Montgeon""",0.0,0.0,,,Do,,"(0, 0)",wikivoyage,red
8,[https://www.lehavre.fr/annuaire/les-jardins-suspendus Les jardins suspendus],0.0,0.0,,,Do,,"(0, 0)",wikivoyage,red
9,Stade Océane,0.0,0.0,,,Do,,"(0, 0)",wikivoyage,red
