,ao_link,lat,lon,itemLabel,description,tier,color
79,https://www.atlasobscura.com/places/st-nicholas-church-3,53.54746,9.99103,"
St. Nicholas' Church
","
Once the tallest building in the world, this abandoned church is now a monument to the destruction of WWII.
",atlas_obscura,gold
101,https://www.atlasobscura.com/places/blankenese-shipwrecks,53.558889,9.788056,"
Blankenese Shipwrecks
","
Remnants of an exploded schooner and wrecked submarines form a breakwater.
",atlas_obscura,gold
108,https://www.atlasobscura.com/places/st-pauli-elbtunnel,53.54599,9.966579,"
St. Pauli Elbtunnel
","
Hamburgers are intensely proud of their tunnel beneath the river.
",atlas_obscura,gold
151,https://www.atlasobscura.com/places/museum-of-medical-history-hamburg,53.593742,9.976921,"
Museum of Medical History Hamburg 
","
Wax models of disease and deformity are on display at this German medical museum.
",atlas_obscura,gold
153,https://www.atlasobscura.com/places/harrys-harbor-bazaar,53.542246,9.987669,"
Harry’s Harbor Bazaar
","
A wunderkammer of exoticism immortalized by Tom Waits.
",atlas_obscura,gold
160,https://www.atlasobscura.com/places/miniatur-wunderland,53.543908,9.98839,"
Miniatur Wunderland
","
Model Trains and Much More in Hamburg.
",atlas_obscura,gold
165,https://www.atlasobscura.com/places/impaled-skull-of-klaus-stortebeker-pirate-walking-corpse,53.551294,9.973817,"
Impaled Skull of Klaus Stortebeker
","
Executed in 1401, Exhumed in 1878, Stolen in 2010.
",atlas_obscura,gold
209,https://www.atlasobscura.com/places/german-food-additives-museum,53.5408,10.021191,"
German Food Additives Museum
","
A fascinating little museum dedicated to the thousands of chemical substances concealed in our food.
",atlas_obscura,gold
232,https://www.atlasobscura.com/places/rote-flora,53.562085,9.961457,"
Rote Flora
","
This contentious squat has stood through fire, violence, and government intervention as a hotbed of leftist protest.
",atlas_obscura,gold
281,https://www.atlasobscura.com/places/walderhaus,53.495678,10.003319,"
Wälderhaus
","
This wooden hotel is a temple to German sustainability and forest conservation.
",atlas_obscura,gold
302,https://www.atlasobscura.com/places/herbertstrasse,53.548092,9.962677,"
Herbertstraße
","
Hamburg's first legal sex work is relegated to a gated street that still does not allow pedestrian women.
",atlas_obscura,gold
320,https://www.atlasobscura.com/places/oberhafenkantine,53.5446,10.006863,"
Oberhafen-Kantine
","
This dockworkers' lunch joint has been left leaning by a century of storm floods.
",atlas_obscura,gold
349,https://www.atlasobscura.com/places/hall-of-fame-heimfeld,53.469529,9.970843,"
Hall of Fame Heimfeld
","
One of the largest legal spray spots in Hamburg.
",atlas_obscura,gold
