,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,--,39.7392364,-104.984862,,,Understand,,"(39.7392364, -104.984862)",wikivoyage,red
0,--,39.7392364,-104.984862,,,Understand_Climate,,"(39.7392364, -104.984862)",wikivoyage,red
0,[[Denver International Airport]] ,0.0,0.0,8500 Peña Boulevard , ,Get in,"Locally known as ""DIA"", the airport is located {{convert","(0, 0)",wikivoyage,red
0,Centennial Airport ,0.0,0.0,"7800 South Peoria Street, Centennial CO ",https://www.centennialairport.com/ ,Get in,,"(0, 0)",wikivoyage,red
1,Rocky Mountain Metropolitan Airport ,0.0,0.0,"11755 Airport Way, Broomfield CO ",https://www.jeffco.us/airport ,Get in,,"(0, 0)",wikivoyage,red
0,Denver Union Station ,39.7531,-105.0, 1701 Wynkoop St ,http://unionstationindenver.com ,Get in," An extensive renovation has restored Union Station to its former glory. It now boasts an on-premise hotel, several restaurants and bars as well as plenty of seating for the tired traveller. Denver Union Station is often cited as the ""poster boy"" for the revival of train stations, train travel in general and the adjacent neighborhoods that can be observed in several North American and European cities. Union Station is also known for its iconic ""travel by train"" sign first put there in the 1950s when arrivals at Stapleton Airport started to outstrip traffic at Union Station. In addition to Amtrak trains, [http://www.rtd-denver.com/ '''RTD'''] commuter and light rail services also call at Union Station, providing easy access to many places in the Denver area if you arrive by train.","(39.7531, -105.0)",wikivoyage,red
0,File:I-25.svg|23px,0.0,0.0,,,Get in,"Denver is served by five Interstate Highway routes, seven U.S. Highway routes, and a toll road:<br/>File:I-25.svg|23px File:I-70.svg|23px File:I-76.svg|23px  File:I-225.svg|27px  File:I-270.svg|27px File:US 6.svg|20px File:US 36.svg|20px File:US 40.svg|20px File:US 85.svg|20px File:US 87.svg|20px File:US 285.svg|25px File:US 287.svg|25px File:E-470.svg|20px","(0, 0)",wikivoyage,red
0,--,39.7392364,-104.984862,,,Get in,,"(39.7392364, -104.984862)",wikivoyage,red
1,Salt Lake City,0.0,0.0,,,Get in,'''U.S. Highway 40''' connects Denver to Salt Lake City to the west.,"(0, 0)",wikivoyage,red
2,--,39.7392364,-104.984862,,,Get in,,"(39.7392364, -104.984862)",wikivoyage,red
3,Colorado Springs,0.0,0.0,,,Get in,"'''Interstate 25'''  connects Denver to Colorado Springs in the south and Cheyenne, Wyoming in the north.","(0, 0)",wikivoyage,red
4,Boulder,39.7585496,-105.011396,,,Get in,'''U.S. Highway 36''' connects to the northwestern suburbs and on to Boulder.,"(39.7585496, -105.011396)",wikivoyage,red
5,--,39.7392364,-104.984862,,,Get in,,"(39.7392364, -104.984862)",wikivoyage,red
6,--,39.7392364,-104.984862,,,Get in,,"(39.7392364, -104.984862)",wikivoyage,red
0,--,39.7392364,-104.984862,,,Get in,,"(39.7392364, -104.984862)",wikivoyage,red
0,El Paso Los Angeles Limousine Express ,39.7513,-104.98493,(bus station) 2215 E California St ,http://www.eplalimo.com ,Get in,"Travels along I-25 between Greeley, Denver, Colorado Springs, Pueblo, Santa Fe, Albuquerque, Deming, Las Cruces and El Paso. The depot in Greeley is at 2410 8th Ave.","(39.7513, -104.98493)",wikivoyage,red
1,Los Paisanos ,39.7517,-104.98764,(bus station) 2147 Broadway ,http://lospaisanosautobuses.com/ ,Get in,"Travels between Caldwell (near Boise) and El Paso via Salt Lake City, Greely, Denver and Roswell.","(39.7517, -104.98764)",wikivoyage,red
0,[[Denver International Airport]] ,0.0,0.0,8500 Peña Boulevard , ,Get in_By plane,"Locally known as ""DIA"", the airport is located {{convert","(0, 0)",wikivoyage,red
0,Centennial Airport ,0.0,0.0,"7800 South Peoria Street, Centennial CO ",https://www.centennialairport.com/ ,Get in_By plane,,"(0, 0)",wikivoyage,red
1,Rocky Mountain Metropolitan Airport ,0.0,0.0,"11755 Airport Way, Broomfield CO ",https://www.jeffco.us/airport ,Get in_By plane,,"(0, 0)",wikivoyage,red
0,Denver Union Station ,39.7531,-105.0, 1701 Wynkoop St ,http://unionstationindenver.com ,Get in_By train," An extensive renovation has restored Union Station to its former glory. It now boasts an on-premise hotel, several restaurants and bars as well as plenty of seating for the tired traveller. Denver Union Station is often cited as the ""poster boy"" for the revival of train stations, train travel in general and the adjacent neighborhoods that can be observed in several North American and European cities. Union Station is also known for its iconic ""travel by train"" sign first put there in the 1950s when arrivals at Stapleton Airport started to outstrip traffic at Union Station. In addition to Amtrak trains, [http://www.rtd-denver.com/ '''RTD'''] commuter and light rail services also call at Union Station, providing easy access to many places in the Denver area if you arrive by train.","(39.7531, -105.0)",wikivoyage,red
0,File:I-25.svg|23px,0.0,0.0,,,Get in_By highway,"Denver is served by five Interstate Highway routes, seven U.S. Highway routes, and a toll road:<br/>File:I-25.svg|23px File:I-70.svg|23px File:I-76.svg|23px  File:I-225.svg|27px  File:I-270.svg|27px File:US 6.svg|20px File:US 36.svg|20px File:US 40.svg|20px File:US 85.svg|20px File:US 87.svg|20px File:US 285.svg|25px File:US 287.svg|25px File:E-470.svg|20px","(0, 0)",wikivoyage,red
0,--,39.7392364,-104.984862,,,Get in_By highway,,"(39.7392364, -104.984862)",wikivoyage,red
1,Salt Lake City,0.0,0.0,,,Get in_By highway,'''U.S. Highway 40''' connects Denver to Salt Lake City to the west.,"(0, 0)",wikivoyage,red
2,--,39.7392364,-104.984862,,,Get in_By highway,,"(39.7392364, -104.984862)",wikivoyage,red
3,Colorado Springs,0.0,0.0,,,Get in_By highway,"'''Interstate 25'''  connects Denver to Colorado Springs in the south and Cheyenne, Wyoming in the north.","(0, 0)",wikivoyage,red
4,Boulder,39.7585496,-105.011396,,,Get in_By highway,'''U.S. Highway 36''' connects to the northwestern suburbs and on to Boulder.,"(39.7585496, -105.011396)",wikivoyage,red
5,--,39.7392364,-104.984862,,,Get in_By highway,,"(39.7392364, -104.984862)",wikivoyage,red
6,--,39.7392364,-104.984862,,,Get in_By highway,,"(39.7392364, -104.984862)",wikivoyage,red
0,--,39.7392364,-104.984862,,,Get in_By bus,,"(39.7392364, -104.984862)",wikivoyage,red
