,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
0,--,0.0,0.0,,,Understand,,"(0, 0)",wikivoyage,red
1,--,0.0,0.0,,,Understand,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,Understand,,"(0, 0)",wikivoyage,red
0,--,0.0,0.0,,,Understand_History,,"(0, 0)",wikivoyage,red
0,--,0.0,0.0,,,Understand_Climate,,"(0, 0)",wikivoyage,red
1,--,0.0,0.0,,,Understand_Climate,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,Understand_Climate,,"(0, 0)",wikivoyage,red
0,--,0.0,0.0,,,Talk,,"(0, 0)",wikivoyage,red
0,[[Kempegowda International Airport]] ,13.2004,77.709,Devanahalli ,http://www.bengaluruairport.com/ ,Get in,"The airport is among India's busiest and most modern. The airport is host to 10 domestic airlines and 21 international airlines connecting the city to about 50 destinations.<br />The airport has an international and a domestic terminal. They share the same building, but are on different sides. When departing from the airport, make sure to check restrictions on times for baggage check-in, and make sure to bring a printout of your boarding pass with you to the airport. For flights leaving in the early hours of the morning (such as 3AM), you may need to check in your bags as much as ''2½ hours in advance''.","(13.2004, 77.709)",wikivoyage,red
0,[[Kempegowda International Airport]] ,13.2004,77.709,Devanahalli ,http://www.bengaluruairport.com/ ,Get in_By plane,"The airport is among India's busiest and most modern. The airport is host to 10 domestic airlines and 21 international airlines connecting the city to about 50 destinations.<br />The airport has an international and a domestic terminal. They share the same building, but are on different sides. When departing from the airport, make sure to check restrictions on times for baggage check-in, and make sure to bring a printout of your boarding pass with you to the airport. For flights leaving in the early hours of the morning (such as 3AM), you may need to check in your bags as much as ''2½ hours in advance''.","(13.2004, 77.709)",wikivoyage,red
0,--,0.0,0.0,,,Get in_By plane_Airport to central business district,,"(0, 0)",wikivoyage,red
1,--,0.0,0.0,,,Get in_By plane_Airport to central business district,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,Get in_By plane_Airport to central business district,,"(0, 0)",wikivoyage,red
