,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,ao_link,name,ao_description,address,url,description,fetched_coordinates
0,http://www.wikidata.org/entity/Q23538,https://de.wikipedia.org/wiki/%C3%84quator,https://en.wikipedia.org/wiki/Equator,Point(0.0 0.0),0.0,0.0,0.0,154.0,http://www.wikidata.org/entity/Q146591,equator,circle of latitude,S,orange,,,,,,,
2,http://www.wikidata.org/entity/Q16896007,https://de.wikipedia.org/wiki/Null_Island,https://en.wikipedia.org/wiki/Null_Island,Point(0.0 0.0),0.0,0.0,0.0,24.0,http://www.wikidata.org/entity/Q960648,Null Island,point of interest,S,orange,,,,,,,
3,http://www.wikidata.org/entity/Q24041662,,https://en.wikipedia.org/wiki/Soul_buoy,Point(0.0 0.0),0.0,0.0,0.0,3.0,http://www.wikidata.org/entity/Q2922685,Soul buoy,weather buoy,C,yellow,,,,,,,
4,http://www.wikidata.org/entity/Q128406604,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128406604,Natura 2000 protected area,D,blue,,,,,,,
5,http://www.wikidata.org/entity/Q128427526,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128427526,Natura 2000 protected area,D,blue,,,,,,,
6,http://www.wikidata.org/entity/Q128427643,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128427643,Natura 2000 protected area,D,blue,,,,,,,
7,http://www.wikidata.org/entity/Q128428106,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128428106,Natura 2000 protected area,D,blue,,,,,,,
8,http://www.wikidata.org/entity/Q128428716,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128428716,Natura 2000 protected area,D,blue,,,,,,,
9,http://www.wikidata.org/entity/Q128428866,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128428866,Natura 2000 protected area,D,blue,,,,,,,
10,http://www.wikidata.org/entity/Q128429541,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128429541,Natura 2000 protected area,D,blue,,,,,,,
11,http://www.wikidata.org/entity/Q128429756,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128429756,Natura 2000 protected area,D,blue,,,,,,,
12,http://www.wikidata.org/entity/Q128429916,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128429916,Natura 2000 protected area,D,blue,,,,,,,
13,http://www.wikidata.org/entity/Q128429927,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128429927,Natura 2000 protected area,D,blue,,,,,,,
14,http://www.wikidata.org/entity/Q128429938,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128429938,Natura 2000 protected area,D,blue,,,,,,,
15,http://www.wikidata.org/entity/Q128429948,,,Point(0.0 0.0),0.0,0.0,0.0,1.0,http://www.wikidata.org/entity/Q15069452,Q128429948,Natura 2000 protected area,D,blue,,,,,,,
