,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
1,Panorama 1453 History Museum ,41.0182,28.9204,Topkapı Kültür Park ,https://www.panoramikmuze.com/ ,See,"This is a circular indoor space enclosed by a 3D depiction of the Ottomans breaching the Walls of Constantinople on 29 May 1453, with sound effects. It's over-priced, unhistorical and tourist-trappy. ","(41.0182, 28.9204)",wikivoyage,red
2,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
3,Koca Mustafa Pasha Mosque ,41.0034,28.9286,Koca Mustafapaşa Cd 183 , ,See,"Built in the early 5th century as a monastery dedicated to Saint Andrew the Apostle, in 766 it was the burial place of Saint Andrew of Crete and was later re-dedicated to him. It was rebuilt in the late 9th century and again in the 13th, then around 1490 converted into a mosque. From the 16th century it was occupied by the Dervishes, when the legend arose that a chain hung to a cypress tree in the courtyard was a truth diviner. The chain was swung between rival witnesses and the one it hit was telling the truth. The cypress stump is still standing.","(41.0034, 28.9286)",wikivoyage,red
0,Monastery of Stoudios ,0.0,0.0,Mühendis Ali Sk 1 , ,See,"Byzantine monastery complex built in 463 AD. In the 15th century it served as İmrahor Mosque, but was wrecked by fires and earthquakes. A ruin it remains, and plans to restore it as a mosque have come to nothing. You'll probably find it locked. ","(0, 0)",wikivoyage,red
1,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
0,Yedikule Fortress ,40.9929,28.9227,Yedikule Meydanı Sk 9 ,https://www.yedikulehisari.com/en/ ,See,"The Golden Gate was the ceremonial entrance through the Theodosian city walls. After the Ottomans captured the city in 1453, Mehmed II needed a stronghold for his treasures and documents. The gate was therefore bricked up and the walls reinforced into a fortress, with valuables stored in its seven towers, hence ''yedi kule''. In the following century the treasury moved to Topkapi Palace and the fort became a prison for high-level detainees - Osman II was strangled here in 1622. It remained in use until 1837, whereupon the Golden Gate was re-opened.","(40.9929, 28.9227)",wikivoyage,red
1,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
2,--,0.0,0.0,,,See,,"(0, 0)",wikivoyage,red
0,--,0.0,0.0,,,See_Sultanahmet,,"(0, 0)",wikivoyage,red
0,Sultanahmet Mosque ,41.0054,28.9768,At Meydani Cd 10 ,http://www.sultanahmetcami.org/ ,See_Sultanahmet,"The defining image of Istanbul, dominating the skyline with its great dome and six minarets. Completed in 1617 for Sultan Ahmed I, it's still a working mosque, so dress appropriately and avoid prayer times. Enter via the courtyard on the SW side. You step (shoeless) into the blue-tiled prayer hall beneath the main dome and its semi-domes. The mihrab is of finely carved marble, well-lit, and the minbar (pulpit) next to it is visible from almost all parts. ","(41.0054, 28.9768)",wikivoyage,red
