,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
19,https://www.atlasobscura.com/places/elephanta-caves,18.963341,72.931636,"
Elephanta Caves
","
An extraordinary ""City of Caves"" carved from solid stone.
",atlas_obscura,gold,,,,,,,,,,,,,,"(18.963341, 72.931636)"
53,https://www.atlasobscura.com/places/mahakali-caves,19.128904,72.87159,"
Mahakali Caves
","
Nineteen ancient rock-cut Buddhist caves can be found on the outskirts of Mumbai.
",atlas_obscura,gold,,,,,,,,,,,,,,"(19.128904, 72.87159)"
83,https://www.atlasobscura.com/places/antilia,19.017615,72.856164,"
Antilia
","
World's most expensive home.
",atlas_obscura,gold,,,,,,,,,,,,,,"(19.017615, 72.856164)"
88,https://www.atlasobscura.com/places/tower-of-silence-mumbai,18.961818,72.807148,"
Tower of Silence in Mumbai
","
A Zoroastrian funerary tower where excarnation rituals are carried out is threatened by the area's dwindling vulture population.
",atlas_obscura,gold,,,,,,,,,,,,,,"(18.961818, 72.807148)"
94,https://www.atlasobscura.com/places/gilbert-hill,19.120572,72.840193,"
Gilbert Hill
","
A 66-million-year-old rock formation stands tall over Mumbai, offering stellar city views.
",atlas_obscura,gold,,,,,,,,,,,,,,"(19.120572, 72.840193)"
97,https://www.atlasobscura.com/places/magen-david-synagogue,18.966811,72.831238,"
The Magen David Synagogue
","
In Mumbai, a bright blue synagogue is the largest one for the Baghdadi Jewish community in Asia.
",atlas_obscura,gold,,,,,,,,,,,,,,"(18.966811, 72.831238)"
127,https://www.atlasobscura.com/places/kwan-kung-temple,18.96566,72.846058,"
Kwan Kung Temple
","
The only Chinese temple in Mumbai.
",atlas_obscura,gold,,,,,,,,,,,,,,"(18.96566, 72.846058)"
242,https://www.atlasobscura.com/places/bandra-fort,19.041889,72.818359,"
Bandra Fort
","
Designed as a 17th-century watchtower, the former fort is now a popular sunset haunt.
",atlas_obscura,gold,,,,,,,,,,,,,,"(19.041889, 72.818359)"
11,,15.3004543,74.0855134,Goa,,wikivoyage,red,,,Go next,"Lots of nearby destinations can be reached by short flights: Goa, Ahmedabad, Karachi and Rajkot, to name a few.","(15.3004543, 74.0855134)",,,,,,,,,"(15.3004543, 74.0855134)"
10,,0.0,0.0,--,,wikivoyage,red,,,Go next,,"(0, 0)",,,,,,,,,"(0.0, 0.0)"
9,,18.4928092,73.13807095426539,Raigad,,wikivoyage,red,,,Go next,'''Raigad''' &mdash; district of Maharashtra lies just south of Mumbai. It is famous for its beaches and forts. You can get there by road or by ferry from Mumbai. The important ferry routes are:,"(18.4928092, 73.13807095426539)",,,,,,,,,"(18.4928092, 73.13807095426539)"
8,,19.3592411,73.3708244879681,Thane,,wikivoyage,red,,,Go next,Thane (N {{km|40}}) &mdash; also called ''Lake City'' due to the 30 lakes in and around the city,"(19.3592411, 73.3708244879681)",,,,,,,,,"(19.3592411, 73.3708244879681)"
7,,19.0308262,73.0198537,Navi Mumbai,,wikivoyage,red,,,Go next,Navi Mumbai &mdash; see the Belapur Fort ruins and watch cricket at DY Patil Stadium,"(19.0308262, 73.0198537)",,,,,,,,,"(19.0308262, 73.0198537)"
6,,19.2396742,73.1366482,Kalyan,,wikivoyage,red,,,Go next,Kalyan ({{km|60}} NE; by train towards Karjat or Kasara would reach Kalyan in around 45-55&nbsp;min) - Visit the Fort,"(19.2396742, 73.1366482)",,,,,,,,,"(19.2396742, 73.1366482)"
5,,19.2148599,73.0910271,Dombivli,,wikivoyage,red,,,Go next,"Dombivli ({{km|30}} NE; 40 min in a fast train from CST to reach 'Kopar Stn.', by bus ~1 hr 30 min)","(19.2148599, 73.0910271)",,,,,,,,,"(19.2148599, 73.0910271)"
