,ao_link,lat,lon,itemLabel,ao_description,tier,color
19,https://www.atlasobscura.com/places/elephanta-caves,18.963341,72.931636,"
Elephanta Caves
","
An extraordinary ""City of Caves"" carved from solid stone.
",atlas_obscura,gold
32,https://www.atlasobscura.com/places/kalavantin-durg,18.982935,73.219847,"
Kalavantin Durg
","
A centuries-old lookout post still sits atop a natural stone spire.
",atlas_obscura,gold
53,https://www.atlasobscura.com/places/mahakali-caves,19.128904,72.87159,"
Mahakali Caves
","
Nineteen ancient rock-cut Buddhist caves can be found on the outskirts of Mumbai.
",atlas_obscura,gold
83,https://www.atlasobscura.com/places/antilia,19.017615,72.856164,"
Antilia
","
World's most expensive home.
",atlas_obscura,gold
88,https://www.atlasobscura.com/places/tower-of-silence-mumbai,18.961818,72.807148,"
Tower of Silence in Mumbai
","
A Zoroastrian funerary tower where excarnation rituals are carried out is threatened by the area's dwindling vulture population.
",atlas_obscura,gold
94,https://www.atlasobscura.com/places/gilbert-hill,19.120572,72.840193,"
Gilbert Hill
","
A 66-million-year-old rock formation stands tall over Mumbai, offering stellar city views.
",atlas_obscura,gold
97,https://www.atlasobscura.com/places/magen-david-synagogue,18.966811,72.831238,"
The Magen David Synagogue
","
In Mumbai, a bright blue synagogue is the largest one for the Baghdadi Jewish community in Asia.
",atlas_obscura,gold
106,https://www.atlasobscura.com/places/banganga-tank,18.945695,72.793621,"
Banganga Tank
","
Tucked in Mumbai’s wealthiest neighborhood is one of the city’s oldest and most sacred sites: a temple complex believed to house the waters of the Ganges.
",atlas_obscura,gold
127,https://www.atlasobscura.com/places/kwan-kung-temple,18.96566,72.846058,"
Kwan Kung Temple
","
The only Chinese temple in Mumbai.
",atlas_obscura,gold
144,https://www.atlasobscura.com/places/parsi-fire-temple,18.936518,72.835823,"
Mumbai's Parsi Fire Temples
","
The place of worship for Zoroastrians, Mumbai's Parsi fire temples use fire and ash for purification.
",atlas_obscura,gold
185,https://www.atlasobscura.com/places/afghan-church,18.906452,72.816241,"
Afghan Church
","
A 19th-century church in South Mumbai built to commemorate those who died in the First Anglo-Afghan War and the retreat from Kabul in 1842.
",atlas_obscura,gold
193,https://www.atlasobscura.com/places/the-lion-tiger-statues,18.939845,72.835448,"
The Lion & Tiger Statues
","
These animal carvings stand as a representation of India and Britain.
",atlas_obscura,gold
207,https://www.atlasobscura.com/places/urbs-prima-in-indis,18.940372,72.834502,"
'Urbs Prima In Indis'
","
Mumbai's angel.
",atlas_obscura,gold
209,https://www.atlasobscura.com/places/chhatrapati-shivaji-terminus-mumbai,18.94487,72.833672,"
Chhatrapati Shivaji Terminus
","
An architectural marvel that combines Gothic architecture with Indian elements.
",atlas_obscura,gold
210,https://www.atlasobscura.com/places/kothari-pyau,18.938279,72.837004,"
Kothari Pyau
","
Constructed in 1923, this is one of several heritage drinking fountains across Mumbai.
",atlas_obscura,gold
220,https://www.atlasobscura.com/places/fort-george-mumbai,18.941237,72.838489,"
Fort George
","
An 18th-century fort in the business district of Mumbai.
",atlas_obscura,gold
222,https://www.atlasobscura.com/places/ruttonsee-muljee-jetha-fountain,18.935598,72.837143,"
Ruttonsee Muljee Jetha Fountain
","
A drinking water fountain in the heart of Mumbai, built by a father in memory of his son.
",atlas_obscura,gold
226,https://www.atlasobscura.com/places/bomanjee-hormarjee-wadia-clock-tower,18.934298,72.835847,"
Bomanjee Hormarjee Wadia Clock Tower
","
A heritage structure designed in 1882 honors a Parsi philanthropist.
",atlas_obscura,gold
237,https://www.atlasobscura.com/places/fitzgerald-fountain,18.943486,72.829338,"
Fitzgerald Fountain
","
A tribute to one of Bombay's former governors that has withstood the test of time.
",atlas_obscura,gold
240,https://www.atlasobscura.com/places/st-thomas-cathedral,18.9319,72.833685,"
St. Thomas Cathedral
","
Located in the Horniman Circle area, this church marks the historical Zero Point of Mumbai.
",atlas_obscura,gold
242,https://www.atlasobscura.com/places/bandra-fort,19.041889,72.818359,"
Bandra Fort
","
Designed as a 17th-century watchtower, the former fort is now a popular sunset haunt.
",atlas_obscura,gold
262,https://www.atlasobscura.com/places/port-trust-war-memorial,18.934016,72.840139,"
Port Trust War Memorial
","
A sandstone lamp post in Mumbai's business district honors the war efforts of the Port Trust and its employees who fell during World War I.
",atlas_obscura,gold
270,https://www.atlasobscura.com/places/army-navy-building,18.927915,72.830993,"
Army & Navy Building
","
This 19th-century heritage building once housed a department store that supplied British provisions in the city.
",atlas_obscura,gold
277,https://www.atlasobscura.com/places/old-womans-shoe-mumbai,18.955654,72.805718,"
Old Woman’s Shoe
","
A gigantic shoe, inspired by a nursery rhyme, sits in a park atop Mumbai’s Malabar Hill.
",atlas_obscura,gold
286,https://www.atlasobscura.com/places/kala-ghoda-statue,18.927864,72.831831,"
Kala Ghoda Statue
","
A tribute to the area's namesake and King Edward VII.
",atlas_obscura,gold
